"landstat_id","landstat_name_wmo","landstat_lat","landstat_lon","stationRow","sector","sector_latitude","sector_longitude","postcodeRow"
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB54 8",57.4467672016429,-2.78750749967857,10113
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB54 9",57.420162,-2.85726783333333,10114
3059,"Inverness/Dalcross",57.53,-4.05,1,"AB55 4",57.4454512881486,-3.12273715460641,10115
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB54 7",57.5441082746818,-2.68462914382275,10116
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB54 4",57.387782456867,-2.85295763522318,10117
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB54 6",57.4559457311215,-2.66589035737383,10118
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB53 8",57.4718806441709,-2.39400881365327,10119
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB53 6",57.5207911729348,-2.22254479494565,10120
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB53 5",57.5747045129863,-2.35021967993301,10121
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB53 4",57.5400313861131,-2.48500959801597,10122
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB52 6",57.3429477349932,-2.60641568731007,10123
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB51 7",57.1920035075781,-2.52804171637157,10124
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB51 8",57.4088007963234,-2.43995712433106,10125
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB51 5",57.2825431564594,-2.4450293015209,10126
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB51 6",57.293749971016,-2.36742781953426,10127
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB51 4",57.2898232014226,-2.39048126477995,10128
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB51 3",57.2794305925739,-2.37802603609395,10129
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB51 0",57.2917750808291,-2.34462675929077,10130
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB45 3",57.6358912934722,-2.46791919697685,10131
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB51 1",57.3090419140861,-2.38788648189614,10132
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB45 2",57.6572923637684,-2.6752788762496,10133
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB44 1",57.6682998882264,-2.49262643765071,10134
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB45 1",57.6648097575823,-2.52750824138944,10135
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB43 9",57.6888077686101,-2.01546023145591,10136
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB43 8",57.6392811363016,-1.94432398004121,10137
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB43 7",57.6690295464261,-2.08681346635131,10138
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB43 6",57.6058445044177,-2.15959695481259,10139
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB42 5",57.5046970315319,-2.04609002026813,10140
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB42 9",57.4920910125385,-1.79346672392951,10141
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB42 4",57.5320538771208,-2.01388627863688,10142
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB16 9",57.15335720965,-2.15034215954444,10143
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB42 3",57.5093629308961,-1.82664836126727,10144
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB42 1",57.508864597182,-1.78955416659584,10145
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB42 2",57.5006681418239,-1.80209995261006,10146
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB41 9",57.3661951088776,-2.07867640901356,10147
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB42 0",57.4272452976474,-1.88877837740039,10148
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB41 8",57.3972742573334,-2.05835770641565,10149
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB41 7",57.3903248061496,-2.20944420093839,10150
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB39 3",57.0024157467751,-2.21732223873315,10151
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB39 9",56.9652889,-2.20798679999996,10152
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB41 1",57.3665334,-2.084022574,10153
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB41 6",57.3144372659003,-2.08403521684906,10154
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB39 2",56.9609167223142,-2.22006109111276,10155
3059,"Inverness/Dalcross",57.53,-4.05,1,"AB38 7",57.5053567262994,-3.25080902528902,10156
3059,"Inverness/Dalcross",57.53,-4.05,1,"AB38 9",57.4739602688235,-3.21154578970588,10157
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB35 5",57.0384162475961,-3.1490827336222,10158
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB36 8",57.1969722853192,-3.06877033691489,10159
3059,"Inverness/Dalcross",57.53,-4.05,1,"AB37 9",57.3290278488316,-3.35228383082866,10160
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB34 5",57.0798973202412,-2.79765360573369,10161
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB33 8",57.2252671932555,-2.74091805971075,10162
3091,"Aberdeen/Dyce",57.2,-2.21,2,"AB34 4",57.1314020406514,-2.85735394683113,10163
